date_time,home_team,away_team,odd_home,odd_away,score_home,score_away,overtime
2015-04-19T23:30:00.000Z,Atlanta Hawks,Brooklyn Nets,-769,541,99,92,false
2015-04-19T21:00:00.000Z,Cleveland Cavaliers,Boston Celtics,-909,652,113,100,false
2015-04-19T03:30:00.000Z,Houston Rockets,Dallas Mavericks,-238,200,118,108,false
2015-04-20T01:00:00.000Z,Chicago Bulls,Milwaukee Bucks,-400,316,103,91,false
2015-04-18T21:30:00.000Z,Golden State Warriors,New Orleans Pelicans,-1000,683,106,99,false
2015-04-18T18:30:00.000Z,Toronto Raptors,Washington Wizards,-185,158,86,93,true
2015-04-16T04:30:00.000Z,Golden State Warriors,Denver Nuggets,-833,596,133,126,false
2015-04-16T04:30:00.000Z,Los Angeles Lakers,Sacramento Kings,-164,138,99,122,false
2015-04-16T03:30:00.000Z,Memphis Grizzlies,Indiana Pacers,119,-143,95,83,false
2015-04-16T02:00:00.000Z,Brooklyn Nets,Orlando Magic,-476,363,101,88,false
2015-04-16T02:00:00.000Z,Chicago Bulls,Atlanta Hawks,-217,181,91,85,false
2015-04-16T02:00:00.000Z,Cleveland Cavaliers,Washington Wizards,-357,284,113,108,true
2015-04-16T02:00:00.000Z,Dallas Mavericks,Portland Trail Blazers,-270,222,114,98,false
